Name,Platform,Year,Genre,Publisher,Global_Sales
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.59
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,6.56
The Legend of Zelda,NES,1986,Action,Nintendo,6.51
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.5
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,6.43
Pok̩mon Emerald Version,GBA,2004,Role-Playing,Nintendo,6.41
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,6.4
Pok̩mon Crystal Version,GB,2000,Role-Playing,Nintendo,6.39
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,6.36
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.34
Super Mario Sunshine,GC,2002,Platform,Nintendo,6.31
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,6.3
World of Warcraft,PC,2004,Role-Playing,Activision,6.28
Driver,PS,1999,Action,GT Interactive,6.27
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.24
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.24
Gears of War,X360,2006,Shooter,Microsoft Game Studios,6.11
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,6.05
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,6.03
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,6.03
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,6.03
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.99
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,5.95
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,5.92
